| epoch   3 |  5000/ 9945 batches | lr 0.10 | ms/batch 19.02 | loss  6.12 | ppl   454.23
| epoch   3 |  5200/ 9945 batches | lr 0.10 | ms/batch 18.93 | loss  6.10 | ppl   447.25
| epoch   3 |  5400/ 9945 batches | lr 0.10 | ms/batch 18.84 | loss  6.11 | ppl   449.14
| epoch   3 |  5600/ 9945 batches | lr 0.10 | ms/batch 19.00 | loss  6.03 | ppl   416.53
| epoch   3 |  5800/ 9945 batches | lr 0.10 | ms/batch 18.86 | loss  6.05 | ppl   424.76
| epoch   3 |  6000/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  6.08 | ppl   436.95
| epoch   3 |  6200/ 9945 batches | lr 0.10 | ms/batch 18.29 | loss  6.03 | ppl   417.74
| epoch   3 |  6400/ 9945 batches | lr 0.10 | ms/batch 17.55 | loss  6.12 | ppl   456.50
| epoch   3 |  6600/ 9945 batches | lr 0.10 | ms/batch 17.31 | loss  6.07 | ppl   430.89
| epoch   3 |  6800/ 9945 batches | lr 0.10 | ms/batch 18.71 | loss  6.08 | ppl   438.76
| epoch   3 |  7000/ 9945 batches | lr 0.10 | ms/batch 18.12 | loss  6.15 | ppl   470.02
| epoch   3 |  7200/ 9945 batches | lr 0.10 | ms/batch 18.18 | loss  5.91 | ppl   368.66
| epoch   3 |  7400/ 9945 batches | lr 0.10 | ms/batch 18.11 | loss  6.06 | ppl   426.40
| epoch   3 |  7600/ 9945 batches | lr 0.10 | ms/batch 18.29 | loss  6.06 | ppl   426.27
| epoch   3 |  7800/ 9945 batches | lr 0.10 | ms/batch 18.14 | loss  6.06 | ppl   428.86
| epoch   3 |  8000/ 9945 batches | lr 0.10 | ms/batch 18.12 | loss  6.05 | ppl   425.79
| epoch   3 |  8200/ 9945 batches | lr 0.10 | ms/batch 18.39 | loss  6.09 | ppl   442.70
| epoch   3 |  8400/ 9945 batches | lr 0.10 | ms/batch 17.94 | loss  6.06 | ppl   428.51
| epoch   3 |  8600/ 9945 batches | lr 0.10 | ms/batch 17.90 | loss  6.03 | ppl   417.26
| epoch   3 |  8800/ 9945 batches | lr 0.10 | ms/batch 18.21 | loss  6.00 | ppl   404.97
| epoch   3 |  9000/ 9945 batches | lr 0.10 | ms/batch 18.73 | loss  5.97 | ppl   392.74
| epoch   3 |  9200/ 9945 batches | lr 0.10 | ms/batch 18.60 | loss  6.10 | ppl   444.02
| epoch   3 |  9400/ 9945 batches | lr 0.10 | ms/batch 18.80 | loss  6.03 | ppl   416.53
| epoch   3 |  9600/ 9945 batches | lr 0.10 | ms/batch 19.96 | loss  5.96 | ppl   386.23
| epoch   3 |  9800/ 9945 batches | lr 0.10 | ms/batch 19.47 | loss  6.12 | ppl   455.85
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 185.86s | valid loss  6.17 | valid ppl   478.55
-----------------------------------------------------------------------------------------
