| epoch   2 |  9600/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.13 | ppl   461.65
| epoch   2 |  9800/14918 batches | lr 0.10 | ms/batch 17.06 | loss  6.18 | ppl   483.75
| epoch   2 | 10000/14918 batches | lr 0.10 | ms/batch 17.64 | loss  6.32 | ppl   556.63
| epoch   2 | 10200/14918 batches | lr 0.10 | ms/batch 17.42 | loss  6.21 | ppl   495.43
| epoch   2 | 10400/14918 batches | lr 0.10 | ms/batch 17.84 | loss  6.15 | ppl   470.84
| epoch   2 | 10600/14918 batches | lr 0.10 | ms/batch 18.02 | loss  6.11 | ppl   452.09
| epoch   2 | 10800/14918 batches | lr 0.10 | ms/batch 17.08 | loss  6.07 | ppl   432.74
| epoch   2 | 11000/14918 batches | lr 0.10 | ms/batch 17.14 | loss  6.14 | ppl   462.74
| epoch   2 | 11200/14918 batches | lr 0.10 | ms/batch 17.18 | loss  6.12 | ppl   453.54
| epoch   2 | 11400/14918 batches | lr 0.10 | ms/batch 17.07 | loss  6.07 | ppl   434.19
| epoch   2 | 11600/14918 batches | lr 0.10 | ms/batch 17.55 | loss  6.08 | ppl   437.01
| epoch   2 | 11800/14918 batches | lr 0.10 | ms/batch 17.71 | loss  6.16 | ppl   475.43
| epoch   2 | 12000/14918 batches | lr 0.10 | ms/batch 17.58 | loss  6.13 | ppl   461.13
| epoch   2 | 12200/14918 batches | lr 0.10 | ms/batch 17.57 | loss  6.21 | ppl   495.23
| epoch   2 | 12400/14918 batches | lr 0.10 | ms/batch 17.24 | loss  6.12 | ppl   453.45
| epoch   2 | 12600/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.11 | ppl   449.08
| epoch   2 | 12800/14918 batches | lr 0.10 | ms/batch 17.23 | loss  6.15 | ppl   470.99
| epoch   2 | 13000/14918 batches | lr 0.10 | ms/batch 17.11 | loss  6.12 | ppl   452.71
| epoch   2 | 13200/14918 batches | lr 0.10 | ms/batch 17.25 | loss  6.05 | ppl   423.35
| epoch   2 | 13400/14918 batches | lr 0.10 | ms/batch 17.34 | loss  6.05 | ppl   424.81
| epoch   2 | 13600/14918 batches | lr 0.10 | ms/batch 17.53 | loss  6.07 | ppl   430.77
| epoch   2 | 13800/14918 batches | lr 0.10 | ms/batch 17.26 | loss  6.03 | ppl   414.58
| epoch   2 | 14000/14918 batches | lr 0.10 | ms/batch 17.13 | loss  6.04 | ppl   418.29
| epoch   2 | 14200/14918 batches | lr 0.10 | ms/batch 17.27 | loss  6.11 | ppl   448.21
| epoch   2 | 14400/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.13 | ppl   461.29
| epoch   2 | 14600/14918 batches | lr 0.10 | ms/batch 17.07 | loss  6.07 | ppl   434.31
| epoch   2 | 14800/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.04 | ppl   419.10
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 262.30s | valid loss  6.08 | valid ppl   438.69
-----------------------------------------------------------------------------------------
| epoch   3 |   200/14918 batches | lr 0.10 | ms/batch 17.18 | loss  5.92 | ppl   374.09
| epoch   3 |   400/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.10 | ppl   445.40
| epoch   3 |   600/14918 batches | lr 0.10 | ms/batch 17.13 | loss  5.99 | ppl   399.50
| epoch   3 |   800/14918 batches | lr 0.10 | ms/batch 17.14 | loss  5.99 | ppl   397.94
| epoch   3 |  1000/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.07 | ppl   432.61
| epoch   3 |  1200/14918 batches | lr 0.10 | ms/batch 17.09 | loss  5.98 | ppl   396.95
| epoch   3 |  1400/14918 batches | lr 0.10 | ms/batch 17.08 | loss  6.04 | ppl   421.46
| epoch   3 |  1600/14918 batches | lr 0.10 | ms/batch 17.06 | loss  6.06 | ppl   430.40
| epoch   3 |  1800/14918 batches | lr 0.10 | ms/batch 17.23 | loss  5.93 | ppl   377.73
| epoch   3 |  2000/14918 batches | lr 0.10 | ms/batch 17.31 | loss  5.97 | ppl   391.44
| epoch   3 |  2200/14918 batches | lr 0.10 | ms/batch 17.13 | loss  6.06 | ppl   426.84
| epoch   3 |  2400/14918 batches | lr 0.10 | ms/batch 17.30 | loss  5.89 | ppl   360.30
| epoch   3 |  2600/14918 batches | lr 0.10 | ms/batch 17.40 | loss  6.00 | ppl   404.23
| epoch   3 |  2800/14918 batches | lr 0.10 | ms/batch 17.33 | loss  5.94 | ppl   378.65
| epoch   3 |  3000/14918 batches | lr 0.10 | ms/batch 17.11 | loss  5.86 | ppl   350.17
| epoch   3 |  3200/14918 batches | lr 0.10 | ms/batch 17.15 | loss  5.88 | ppl   357.56
